episode,step,pos_x,pos_y,action,action_was_parsed,complexity,depth,reward,cumulative_depth,depth_budget_remaining,done,success
3,9,0,2,left,False,0.50898,0,-0.01,0,150,False,False
3,10,0,1,left,False,0.442313,0,-0.01,0,150,False,False
3,11,0,2,right,False,0.460646,0,-0.01,0,150,False,False
3,12,1,2,down,False,0.442313,0,-0.01,0,150,False,False
3,13,2,2,down,False,0.33898,0,-0.01,0,150,False,False
3,14,2,3,right,False,0.320646,0,-0.01,0,150,False,False
3,15,2,4,right,False,0.302313,0,-0.01,0,150,False,False
3,16,3,4,down,False,0.36898,0,-0.01,0,150,False,False
3,17,4,4,down,False,0.265646,0,-0.01,0,150,False,False
3,18,3,4,up,False,0.332313,0,-0.01,0,150,False,False
3,19,4,4,down,False,0.265646,0,-0.01,0,150,False,False
3,20,4,3,left,False,0.332313,0,-0.01,0,150,False,False
3,21,4,4,right,False,0.265646,0,-0.01,0,150,False,False
3,22,4,3,left,False,0.332313,0,-0.01,0,150,False,False
3,23,3,3,up,False,0.265646,0,-0.01,0,150,False,False
3,24,2,3,up,False,0.28398,0,-0.01,0,150,False,False
3,25,3,3,down,False,0.302313,0,-0.01,0,150,False,False
3,26,2,3,up,False,0.28398,0,-0.01,0,150,False,False
3,27,2,2,left,False,0.302313,0,-0.01,0,150,False,False
3,28,1,2,up,False,0.320646,0,-0.01,0,150,False,False
3,29,1,1,left,False,0.33898,0,-0.01,0,150,False,False
3,30,1,2,right,False,0.357313,0,-0.01,0,150,False,False
3,31,1,3,right,False,0.33898,0,-0.01,0,150,False,False
3,32,1,4,right,False,0.320646,0,-0.01,0,150,False,False
3,33,1,3,left,False,0.472313,0,-0.01,0,150,False,False
3,34,1,4,right,False,0.320646,0,-0.01,0,150,False,False
3,35,2,4,down,False,0.472313,0,-0.01,0,150,False,False
3,36,3,4,down,False,0.36898,0,-0.01,0,150,False,False
3,37,2,4,up,False,0.265646,0,-0.01,0,150,False,False
3,38,1,4,up,False,0.36898,0,-0.01,0,150,False,False
3,39,2,4,down,False,0.472313,0,-0.01,0,150,False,False
3,40,3,4,down,False,0.36898,0,-0.01,0,150,False,False
3,41,4,4,down,False,0.265646,0,-0.01,0,150,False,False
3,42,5,4,down,False,0.332313,0,-0.01,0,150,False,False
3,43,5,5,right,False,0.22898,0,-0.01,0,150,False,False
3,44,5,6,right,False,0.380646,0,-0.01,0,150,False,False
3,45,5,7,right,False,0.192313,0,-0.01,0,150,False,False
3,46,5,6,left,False,0.34398,0,-0.01,0,150,False,False
3,47,5,5,left,False,0.192313,0,-0.01,0,150,False,False
3,48,5,6,right,False,0.380646,0,-0.01,0,150,False,False
3,49,6,6,down,False,0.192313,0,-0.01,0,150,False,False
3,50,7,6,down,False,0.34398,0,-0.01,0,150,False,False
3,51,7,7,right,False,0.240646,0,-0.01,0,150,False,False
3,52,8,7,down,False,0.222313,0,-0.01,0,150,False,False
3,53,8,6,left,False,0.11898,0,-0.01,0,150,False,False
3,54,9,6,down,False,0.137313,0,-0.01,0,150,False,False
3,55,9,7,right,False,0.28898,0,-0.01,0,150,False,False
3,56,8,7,up,False,0.270646,0,-0.01,0,150,False,False
3,57,9,7,down,False,0.11898,0,-0.01,0,150,False,False
3,58,9,6,left,False,0.270646,0,-0.01,0,150,False,False
3,59,9,7,right,False,0.28898,0,-0.01,0,150,False,False
3,60,8,7,up,False,0.270646,0,-0.01,0,150,False,False
3,61,7,7,up,False,0.11898,0,-0.01,0,150,False,False
3,62,7,6,left,False,0.222313,0,-0.01,0,150,False,False
3,63,7,7,right,False,0.240646,0,-0.01,0,150,False,False
3,64,7,6,left,False,0.222313,0,-0.01,0,150,False,False
3,65,6,6,up,False,0.240646,0,-0.01,0,150,False,False
